,3M,6M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,12Y,14Y,16Y,18Y,20Y,22Y,24Y,26Y,28Y,30Y
PC_1,-0.1963718090868775,-0.20164848187022777,-0.20920071085372022,-0.21894442238522624,-0.22419131820838537,-0.22649357205875986,-0.22693303779058047,-0.22624546422504827,-0.22491758332505613,-0.2232627613624853,-0.2214765053727014,-0.21967621721367178,-0.2162695727491329,-0.2132664270452628,-0.21068097082274978,-0.2084606948693918,-0.2065400517508685,-0.204858724131103,-0.20336656978032486,-0.20202382498807747,-0.20079979016950333,-0.19967118001466536
PC_2,0.4023764853605522,0.41177138757607074,0.3921828963970814,0.3113631034350483,0.22720789978049538,0.1516371675709742,0.08615384446424428,0.030243029643874812,-0.017057769223847843,-0.05674735216814927,-0.08974960286892038,-0.11689265325162701,-0.15646994749655363,-0.18046447672119464,-0.19282932357503993,-0.19667165752180576,-0.19439782358415636,-0.1878416611957601,-0.17837977299080174,-0.16703152857263281,-0.1545423072409334,-0.14145041164645414
PC_3,-0.41065086174188126,-0.3290230251010857,-0.14636503340093407,0.11310080432001664,0.24470550060102306,0.2994155231343379,0.307798060909362,0.28815324442069495,0.2522036757226773,0.2077131632696445,0.15985632265921002,0.11203854435501667,0.024347261291852735,-0.04685224974669916,-0.10013366379848426,-0.13724262329743264,-0.16108154855760096,-0.1747065607124485,-0.1808703484786062,-0.1818548320356415,-0.179450834503621,-0.17500563666262806
