,3M,6M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,12Y,14Y,16Y,18Y,20Y,22Y,24Y,26Y,28Y,30Y
PC_1,-0.19626534541552315,-0.201466303116489,-0.20892703290106115,-0.21861951937857477,-0.22390745896919656,-0.22627185071440387,-0.22677386116519305,-0.22614500900010656,-0.22487077991423962,-0.22326384463200857,-0.22151936411737977,-0.21975472771782148,-0.21640218330694685,-0.21343338833260248,-0.21086678031392775,-0.20865371875320937,-0.206731817677083,-0.20504320582700566,-0.2035395769157573,-0.20218252116397922,-0.20094232729226608,-0.1997964272210591
PC_2,0.4025283353245233,0.4118712177806472,0.39227095489438807,0.31151460282162924,0.22744003989925876,0.15190588539331146,0.08640740502638851,0.030449258865632833,-0.016910478579661953,-0.056656902651833506,-0.08970679808036529,-0.11688565857909129,-0.156499773621438,-0.1804935346229287,-0.1928310564550094,-0.1966274137061502,-0.19429389023697324,-0.18766741556302138,-0.17812672180726746,-0.16669286064887467,-0.15411268883273163,-0.14092587150299732
PC_3,-0.40936726201775103,-0.3289499020765638,-0.14619109930686536,0.11297643161444289,0.24418734094540098,0.2988619020708661,0.3074207364254342,0.2880370532114845,0.2523679760634346,0.20814641236613657,0.16053211289862288,0.11292268566335764,0.025528857251607858,-0.045546514469993256,-0.0988814666439007,-0.13621378971881573,-0.1604288705608787,-0.17456035911661785,-0.18133644466895113,-0.18301501248494983,-0.18136484118357357,-0.1777139128432216
