,3M,6M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,12Y,14Y,16Y,18Y,20Y,22Y,24Y,26Y,28Y,30Y
2005-01-07,2.1351529149136996,2.0566244368042232,2.1066483257110113,2.3719358343684576,2.62052000491261,2.8268444564380286,2.998913805614834,3.1458628341714,3.2747292025566495,3.390333994204983,3.4957315103404456,3.592729942921307,3.765067678655488,3.910922558549135,4.031646842747475,4.128704799595196,4.204196076338825,4.260717937401545,4.301077435693945,4.328040741989964,4.344166202647703,4.351715216827723
2005-01-14,2.139743221374425,2.063781376680615,2.1078121950134707,2.3617277439738213,2.604664492046567,2.8074871621805073,2.9765951095813623,3.1205433979071704,3.246176351005179,3.3582828708325243,3.459957445655178,3.553079452663351,3.7175234885068607,3.8557704595148583,3.969583749988086,4.060652558104173,4.13115208233685,4.183653530364851,4.220878136391045,4.245477627181627,4.259888077225255,4.266253367423535
2005-01-21,2.141280463682994,2.0694153382614697,2.1167448245422094,2.3748311598526137,2.621080203202085,2.825822807644173,2.99549479623251,3.1388952387378932,3.263130432433493,3.3732219168055706,3.472458994120756,3.562879562096182,3.7216060500603265,3.8542580768572243,3.962982388178818,4.0496387911586655,4.116439884540326,4.165917870458012,4.200716848343471,4.223397519508977,4.236305297177458,4.241501315763332
2005-01-28,2.1292305650059298,2.060415922383549,2.1080177194775698,2.3634182310611354,2.60725084029677,2.8096699782444343,2.9769143959904714,3.1177411763581966,3.239274233974161,3.346575870555495,3.4429842636650863,3.5305864541847174,3.683880075764709,3.8115875081501356,3.9160100647041705,3.9990606271311893,4.062933727885448,4.110101013965128,4.143125586906728,4.16448166335513,4.1764317754444935,4.180962606419294
2005-02-04,2.1276470620077954,2.0704814603605186,2.1246671829688575,2.3789923935027457,2.6182042487320425,2.814267420610442,2.9739003490773177,3.1062523110276357,3.2187730654767024,3.316794078636319,3.403875751570532,3.48228635415247,3.6181449116208806,3.7302702496485196,3.8213127145950847,3.893236240292306,3.9480989390144394,3.988135317606517,4.015631654813923,4.0327845488829555,4.041600250429654,4.043841071180937
2005-02-11,2.124473835676308,2.063160987236658,2.1096183458668243,2.351954767569191,2.583441630102342,2.7748972323287977,2.9321184994761147,3.0635942027078764,3.1762978767427805,3.2752141557164522,3.3636500524475244,3.4436892981789526,3.5831338009154523,3.6987876564337685,3.7929994515268386,3.8676287468506287,3.92473285011165,3.9665946510497894,3.995567214235643,4.013915741799632,4.02370876382738,4.026761279361958
2005-02-18,2.1147278573963306,2.0645115181610643,2.15131898095384,2.456994778362932,2.7242628425377444,2.936491033110801,3.1061600745995426,3.2452171480673058,3.362609377327954,3.4645092430616615,3.554948669466956,3.636448391712755,3.7780879241602974,3.8955696279755827,3.991376406748538,4.067267395040832,4.125174539804417,4.1672993009720845,4.195968175280837,4.213464869966494,4.22190686931655,4.223175244379708
2005-02-25,2.1374612146329115,2.0852687422004963,2.171701226627138,2.4848290842232754,2.7619398199738123,2.983102371323875,3.1601998736813277,3.3052411954038274,3.4273859907330078,3.533030630947429,3.6264040199574614,3.710189890650964,3.85495829674084,3.9742431755864414,4.071013618702134,4.1473377376135385,4.205344104311336,4.247359263424996,4.275789199946445,4.292968117353175,4.301045633220201,4.301923362792377
2005-03-04,2.129193673158735,2.062159665898217,2.1235394643588217,2.414875717620191,2.689900655726937,2.91650159122977,3.101923024869935,3.2562026449345827,3.3875721599037636,3.50197424808578,3.6034249058448147,3.6945257415158186,3.851642236740477,3.9805416156165796,4.084702290865994,4.166697860246157,4.2290903067284225,4.274552779171519,4.305757116829144,4.325235541043664,4.335281720969762,4.33789985629014
2005-03-11,2.1339627888343475,2.061615071279213,2.118993666661691,2.416121561625771,2.7021117275554567,2.939753241979151,3.135069435239068,3.297885790955786,3.4365129471417983,3.5570504205101656,3.6636787729675895,3.759149200469073,3.923075937352893,4.056850948481358,4.164511016484923,4.249018393749607,4.313208214020567,4.359947789967803,4.3920484902890236,4.41214379097535,4.422601461393291,4.4254803047667295
2005-03-18,2.1396434481882554,2.0832849186775952,2.167274870526105,2.4768877870634727,2.750432605801433,2.969352368797032,3.1457435082286036,3.2914142444637364,3.415238517681251,3.523334853433127,3.619688291326151,3.7067787314805236,3.858506732982149,3.984508851914766,4.087260234535035,4.168621953592515,4.230693356462223,4.275871072489681,4.3066781846254,4.325580583374422,4.334855652761514,4.336519491246961
2005-03-24,2.1572924095010646,2.1084073149169122,2.2043101932199525,2.518329405734311,2.784575985148459,2.9933026266453977,3.159480940731501,3.295867792727282,3.411617056217897,3.512869347201274,3.603527553348483,3.685949464964674,3.830891995367366,3.9526960460128446,4.053027806288321,4.133141807598352,4.194705038836352,4.239817286437055,4.270804378111443,4.2900053492157015,4.299619027432731,4.301615243404346
2005-04-01,2.1289553903772904,2.061385350751414,2.1265253913580198,2.4029108992373733,2.6511302889807005,2.8527697213662253,3.0184329772879597,3.1583726789699695,3.280167515489852,3.3889169510311556,3.487820021238436,3.5787561425090626,3.740354535903521,3.8772664551442846,3.990655873588244,4.081747661045416,4.152401152849462,4.204994564450253,4.242145851647062,4.266463790811197,4.280379226495731,4.286052472251117
2005-04-08,2.1343435563475204,2.056759043015769,2.1035198043047214,2.364639845928839,2.61298159560828,2.820209948630538,2.99323650808827,3.1408323118525163,3.2699286875782634,3.3853403146662795,3.49015760851067,3.5862431152509715,3.755999596841015,3.8986488087935807,4.015921977698688,4.109553406408685,4.1818132442070395,4.235391191920498,4.273131458960049,4.297801529761042,4.311939979883666,4.317777691607543
