,BETA0,BETA1,BETA2,BETA3,TAU1,TAU2
2005-01-03,4.961704473727861,-2.8908636162887524,-0.11144741178733314,-1.4159373796266763,3.39599854029306,2.723281175126837
2005-01-04,4.909715158797539,-2.913264913728129,-0.02501680844265209,-1.2053451247357732,3.337923086143561,3.099315036178545
2005-01-05,4.9137961830597385,-2.911349570544888,0.009474898404789477,-1.1717416628681956,3.317916796475856,3.0909083057436946
2005-01-06,4.845211052353936,-2.8298905128579994,0.017248539990128268,-1.295411538579542,3.3357522604505663,2.579414506387685
2005-01-07,4.814017898681127,-2.8081029270905224,0.009410162154805552,-1.3205430195030217,3.342847008965379,2.5493120953157407
2005-01-10,4.803629610965415,-2.812945448891071,0.027992338097659268,-1.3045003303657918,3.3273267057123888,2.5523520303260967
2005-01-11,4.776367349491039,-2.7579595108765607,0.03184943608125261,-1.289801671566175,3.3214808047196067,2.5729102077629347
2005-01-12,4.785958760353681,-2.7684846239286043,0.03631488555310078,-1.2844501434307924,3.318726915138852,2.5779944440953027
2005-01-13,4.748980634745985,-2.7298060436344667,0.03714974931963338,-1.3785059070958952,3.3431491115159604,2.387619794178583
2005-01-14,4.696064954562282,-2.6761037925621536,0.0763428059639111,-1.3247277131024129,3.311927596826651,2.4040067119394823
2005-01-17,4.666260823076562,-2.649599466722436,0.0722759735056358,-1.330649400658286,3.318275921140037,2.401858641950763
2005-01-18,4.647502814798747,-2.630900953193079,0.1165206438039789,-1.286643743779483,3.285330116532947,2.399113727635492
2005-01-19,4.550269373502786,-2.5272599190761267,0.1695838421616283,-1.2983993024112666,3.2581054693911935,2.293440437637856
2005-01-20,4.6279161135025415,-2.6119581337167714,0.17563057138375704,-1.2521963908455458,3.2824448276207434,2.4055167512605293
2005-01-21,4.647069408526353,-2.6251413314218723,0.17871089336765528,-1.3078291069607209,3.2899717473503887,2.3261386218240534
2005-01-24,4.627128236589378,-2.608948471343185,0.15766630764097345,-1.341638704398885,3.3089105773952383,2.31027814200396
2005-01-25,4.537460405838071,-2.517956108843472,0.21867334097643865,-1.3398890229638551,3.2739207539002084,2.201084331706792
2005-01-26,4.553099890399748,-2.5421503284886,0.2746448569022326,-1.2779402393201729,3.2506288345400383,2.196499175908025
2005-01-27,4.564780229890141,-2.56420032621214,0.3017225711186487,-1.188365202805112,3.2245428637204143,2.30478458983557
2005-01-28,4.5679152575632855,-2.5553517662776812,0.2361163647340335,-1.2700574130694529,3.3069120639383747,2.2769546600963233
2005-01-31,4.554783776777895,-2.5412871279135114,0.2477819904047427,-1.2503538568238792,3.2969209227797687,2.294347019847891
