,3M,6M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,12Y,14Y,16Y,18Y,20Y,22Y,24Y,26Y,28Y,30Y
2005-01-31,2.1268071879850132,2.075751180307825,2.1142056443293415,2.3615122765196306,2.6104452577317905,2.8167829090648406,2.984913750396023,3.124635923350043,3.244177384235759,3.349298760817888,3.4436906295568943,3.529573526489324,3.6803219890702135,3.8063352838879103,3.909523079746265,3.9916034272804315,4.054750551723957,4.101510444548133,4.134547791082394,4.156424745945919,4.169459607013319,4.175658676037858
2005-02-28,2.1291244155879694,2.091625942029737,2.163366488869593,2.4619946626624345,2.741073023652852,2.9645078342006173,3.141715180258347,3.285440041875404,3.4057526480918643,3.509614686231845,3.601514454907686,3.6842042494794534,3.8277494650992057,3.9466070089434315,4.043266862215535,4.119577011437106,4.177650590115407,4.219906746810347,4.2488759170624295,4.267003202544693,4.276514859137459,4.279350014733133
2005-03-31,2.1299324701861595,2.087798910248818,2.1564666709006577,2.44466359039987,2.709699085596032,2.9207811494863662,3.0889424661158484,3.227005534999667,3.344609170423395,3.4481540716091197,3.5415786419508914,3.6271467993566073,3.778935366411679,3.907442819903028,4.013686487540703,4.098726352649529,4.1643348982741655,4.212860981101675,4.246913309201563,4.269085239442359,4.28177371080094,4.287084339264508
2005-04-29,2.0942624607808993,2.0221335328493604,2.0159180024113756,2.2169914137128566,2.4568816428701927,2.6694739058699732,2.849714552805441,3.003282708115207,3.136510510989035,3.2542856550582018,3.3599373026114914,3.455593295265755,3.6216985602214695,3.7584300240906705,3.8689522426400096,3.956075679037521,4.0228135522353865,4.072310997887888,4.107637426443639,4.13161405223664,4.146714570145215,4.155029878779271
2005-05-31,2.074856471770947,1.9998864079331968,1.976072331063318,2.136274335413341,2.3454908784382926,2.5375408018139463,2.704734492467059,2.850511727487639,2.9794873691922024,3.0952656762711332,3.2002373927577787,3.295862453440899,3.462174691358087,3.5980188020821404,3.7059597365536097,3.7888902052174385,3.8501757110627506,3.8933715407782095,3.9219184217888348,3.93893539615002,3.9471164628264828,3.9487045183015756
2005-06-30,2.081547575656371,1.987024861925462,1.895762166068365,1.9822094874103997,2.179559980432991,2.381455117178537,2.563169595055331,2.7216900176665355,2.859499272116703,2.979906977749813,3.0857866515539336,3.179368940610907,3.3359725797128537,3.4591270502373015,3.5551609190056395,3.629034755190771,3.6849626640331725,3.726584440624169,3.7570031247085875,3.7788062165102247,3.7941022039899357,3.804572875702122
2005-07-29,2.126363641425027,2.0540755861365425,2.0249131265681286,2.167978505211228,2.3616714779609578,2.540069508521478,2.694931556071223,2.829385198031016,2.9479231909016557,3.0541337589780597,3.150438065911769,3.238335810446269,3.3921086359626607,3.519251173060361,3.6220091189530055,3.702769846199967,3.764328019159023,3.8096853446761547,3.8417908264487326,3.863351044931413,3.876727906667544,3.8839053003483426
2005-08-31,2.1195877255281577,2.0513291961359066,2.0262589850795125,2.155098760361034,2.324305311239722,2.4790194955425022,2.61395480843454,2.7326199053058486,2.8390976887615533,2.9363651973322167,3.026234421276879,3.1096649401856626,3.2586709610426743,3.3844812487435374,3.487643716023246,3.5695375931369693,3.632395503827692,3.678933201911931,3.7119771409200637,3.7342028491672936,3.747988401194101,3.7553548579360143
2005-09-30,2.1163273375624136,2.078527519184849,2.1161629082577096,2.3081441888357004,2.4872147704075784,2.629688683377705,2.743749372150338,2.8388522931548077,2.921908696576932,2.9972881278785106,3.067462015084522,3.1336449051910664,3.2554525080001557,3.3627082452318215,3.4541610275353816,3.5293927007801793,3.589102367622106,3.6348018208235153,3.668423384999198,3.6920072722435244,3.7074983841248264,3.716635457148182
2005-10-31,2.2215476125697777,2.20569471324939,2.298240338697504,2.5494465118151544,2.7432164420890754,2.8840813042881104,2.9918657090779637,3.0805677113688703,3.158704186377353,3.2309662721338546,3.2995903615189044,3.3653475213149697,3.4878014043716283,3.595205886652688,3.6844678670224456,3.7544324782188427,3.805781216707218,3.840396093238651,3.8607422225378754,3.8694209568372613,3.868895931280394,3.861351147610118
2005-11-30,2.43539533211263,2.4253788455937566,2.5064739588578435,2.7245275101968898,2.8929949455886868,3.014475755552424,3.106324065131867,3.18121713694319,3.2469753314317273,3.307913092645485,3.3660616345015657,3.4220819972884398,3.5270774826161015,3.619571822247477,3.696366361959374,3.7561624394549606,3.7994358067748117,3.827818153387093,3.84350596113266,3.848836153621151,3.8460274225966677,3.8370467277239833
2005-12-30,2.4432518938164876,2.4449951107452765,2.5592988873887625,2.7708155954914493,2.882517512525245,2.940276638846646,2.9761620131441817,3.0066749075009294,3.039592467098174,3.0778558424459224,3.1217618629070243,3.170259940327316,3.274431596468134,3.377367354177677,3.4694497383995597,3.545486503953571,3.6038152610240255,3.6450655342192753,3.671119934249055,3.6843872410275806,3.687350005990096,3.682313459331304
2006-01-31,2.4989773460910003,2.5148478684053903,2.645008732234659,2.9013834190163483,3.063226183631803,3.1623439927465236,3.227628022557032,3.2763440117618243,3.3181551701186733,3.3580351488931814,3.398128055029882,3.438948449265845,3.5210050010012255,3.5984304079584497,3.66573663390842,3.71979347385293,3.7597199585241614,3.7861924399375195,3.8007618483475794,3.8053461123452026,3.8019044021040194,3.7922529111972296
