,3M,6M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,12Y,14Y,16Y,18Y,20Y,22Y,24Y,26Y,28Y,30Y
PC_1,-0.1910160772938623,-0.1961681859443298,-0.20373716186068497,-0.21394110695723687,-0.21993742575229336,-0.22312423984373647,-0.22447927104512813,-0.22467354017213903,-0.2241583964159105,-0.22323124342643602,-0.22208351919579325,-0.2208353343357518,-0.21830004062113684,-0.21591079092983512,-0.2137423127648298,-0.21179244010049614,-0.2100350207592616,-0.20843973504847685,-0.206978944478511,-0.20562959074257342,-0.20437325962419173,-0.20319561364957106
PC_2,0.4013969655836573,0.4108294954965367,0.3925622431496468,0.3151105259768923,0.23329119697910197,0.15894996795594973,0.09392627393002509,0.03800031864123708,-0.009586663755098661,-0.049705320516152916,-0.08320360489940402,-0.11086692096928799,-0.15147791877933595,-0.17645047470345154,-0.18972828919179355,-0.19442421758718417,-0.19295193916849618,-0.18715154764688102,-0.17840470850489334,-0.16773493483614363,-0.15589103409170102,-0.14341414405517244
PC_3,-0.40629699573137956,-0.33056413615539926,-0.1548276922909141,0.10278379576928184,0.2373008481915827,0.2952261628097681,0.30636146827594535,0.2890421096603201,0.25511259699487016,0.21240351332157661,0.1661009037471503,0.11959197997461857,0.03368342393001938,-0.036931905027032745,-0.09077996383956197,-0.12943571356883063,-0.15558030819531604,-0.17204977472378477,-0.1814046201535095,-0.1857718088404023,-0.1868240885182091,-0.18582283378120887
