            mae_act  mae_naive
2017-01-02 0.039987   0.037848
2017-01-03 0.057435   0.058438
2017-01-04 0.064858   0.068725
2017-01-05 0.084119   0.084695
2017-01-06 0.087291   0.088344
2017-01-02 0.039987   0.037848
2017-01-03 0.057435   0.058438
2017-01-04 0.064858   0.068725
2017-01-05 0.084119   0.084695
2017-01-06 0.087291   0.088344
